lower,upper,category,dependents,tax
0,105000,甲,0,0
105000,107000,甲,0,170
107000,109000,甲,0,280
109000,111000,甲,0,380
111000,113000,甲,0,480
113000,115000,甲,0,580
115000,117000,甲,0,680
117000,119000,甲,0,790
119000,121000,甲,0,890
121000,123000,甲,0,990
123000,125000,甲,0,1090
125000,127000,甲,0,1190
127000,129000,甲,0,1300
129000,131000,甲,0,1400
131000,133000,甲,0,1500
133000,135000,甲,0,1600
135000,137000,甲,0,1710
137000,139000,甲,0,1810
139000,141000,甲,0,1910
141000,143000,甲,0,2010
143000,145000,甲,0,2110
145000,147000,甲,0,2220
147000,149000,甲,0,2320
149000,151000,甲,0,2420
151000,153000,甲,0,2520
153000,155000,甲,0,2620
155000,157000,甲,0,2730
157000,159000,甲,0,2830
159000,161000,甲,0,2910
161000,163000,甲,0,2980
163000,165000,甲,0,3050
165000,167000,甲,0,3120
167000,169000,甲,0,3200
169000,171000,甲,0,3270
171000,173000,甲,0,3340
173000,175000,甲,0,3410
175000,177000,甲,0,3480
177000,179000,甲,0,3550
179000,181000,甲,0,3620
181000,183000,甲,0,3700
183000,185000,甲,0,3770
185000,187000,甲,0,3840
187000,189000,甲,0,3910
189000,191000,甲,0,3980
191000,193000,甲,0,4050
193000,195000,甲,0,4120
0,105000,甲,1,0
105000,107000,甲,1,0
107000,109000,甲,1,0
109000,111000,甲,1,0
111000,113000,甲,1,0
113000,115000,甲,1,0
115000,117000,甲,1,0
117000,119000,甲,1,0
119000,121000,甲,1,0
121000,123000,甲,1,0
123000,125000,甲,1,0
125000,127000,甲,1,0
127000,129000,甲,1,0
129000,131000,甲,1,0
131000,133000,甲,1,0
133000,135000,甲,1,0
135000,137000,甲,1,0
137000,139000,甲,1,190
139000,141000,甲,1,300
141000,143000,甲,1,400
143000,145000,甲,1,500
145000,147000,甲,1,600
147000,149000,甲,1,700
149000,151000,甲,1,810
151000,153000,甲,1,910
153000,155000,甲,1,1010
155000,157000,甲,1,1110
157000,159000,甲,1,1210
159000,161000,甲,1,1300
161000,163000,甲,1,1370
163000,165000,甲,1,1440
165000,167000,甲,1,1510
167000,169000,甲,1,1580
169000,171000,甲,1,1650
171000,173000,甲,1,1730
173000,175000,甲,1,1800
175000,177000,甲,1,1870
177000,179000,甲,1,1940
179000,181000,甲,1,2010
181000,183000,甲,1,2080
183000,185000,甲,1,2150
185000,187000,甲,1,2230
187000,189000,甲,1,2300
189000,191000,甲,1,2370
191000,193000,甲,1,2440
193000,195000,甲,1,2510
0,105000,甲,2,0
105000,107000,甲,2,0
107000,109000,甲,2,0
109000,111000,甲,2,0
111000,113000,甲,2,0
113000,115000,甲,2,0
115000,117000,甲,2,0
117000,119000,甲,2,0
119000,121000,甲,2,0
121000,123000,甲,2,0
123000,125000,甲,2,0
125000,127000,甲,2,0
127000,129000,甲,2,0
129000,131000,甲,2,0
131000,133000,甲,2,0
133000,135000,甲,2,0
135000,137000,甲,2,0
137000,139000,甲,2,0
139000,141000,甲,2,0
141000,143000,甲,2,0
143000,145000,甲,2,0
145000,147000,甲,2,0
147000,149000,甲,2,0
149000,151000,甲,2,0
151000,153000,甲,2,0
153000,155000,甲,2,0
155000,157000,甲,2,0
157000,159000,甲,2,0
159000,161000,甲,2,0
161000,163000,甲,2,0
163000,165000,甲,2,0
165000,167000,甲,2,0
167000,169000,甲,2,0
169000,171000,甲,2,0
171000,173000,甲,2,100
173000,175000,甲,2,170
175000,177000,甲,2,250
177000,179000,甲,2,320
179000,181000,甲,2,390
181000,183000,甲,2,460
183000,185000,甲,2,530
185000,187000,甲,2,600
187000,189000,甲,2,670
189000,191000,甲,2,750
191000,193000,甲,2,820
193000,195000,甲,2,890
0,105000,甲,3,0
105000,107000,甲,3,0
107000,109000,甲,3,0
109000,111000,甲,3,0
111000,113000,甲,3,0
113000,115000,甲,3,0
115000,117000,甲,3,0
117000,119000,甲,3,0
119000,121000,甲,3,0
121000,123000,甲,3,0
123000,125000,甲,3,0
125000,127000,甲,3,0
127000,129000,甲,3,0
129000,131000,甲,3,0
131000,133000,甲,3,0
133000,135000,甲,3,0
135000,137000,甲,3,0
137000,139000,甲,3,0
139000,141000,甲,3,0
141000,143000,甲,3,0
143000,145000,甲,3,0
145000,147000,甲,3,0
147000,149000,甲,3,0
149000,151000,甲,3,0
151000,153000,甲,3,0
153000,155000,甲,3,0
155000,157000,甲,3,0
157000,159000,甲,3,0
159000,161000,甲,3,0
161000,163000,甲,3,0
163000,165000,甲,3,0
165000,167000,甲,3,0
167000,169000,甲,3,0
169000,171000,甲,3,0
171000,173000,甲,3,0
173000,175000,甲,3,0
175000,177000,甲,3,0
177000,179000,甲,3,0
179000,181000,甲,3,0
181000,183000,甲,3,0
183000,185000,甲,3,0
185000,187000,甲,3,0
187000,189000,甲,3,0
189000,191000,甲,3,0
191000,193000,甲,3,0
193000,195000,甲,3,0
0,105000,甲,4,0
105000,107000,甲,4,0
107000,109000,甲,4,0
109000,111000,甲,4,0
111000,113000,甲,4,0
113000,115000,甲,4,0
115000,117000,甲,4,0
